audio_file,annotation,high_f,low_f,start_time,end_time
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,62,32,74723.627,74726.844
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,62,28,74822.669,74826.01
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,79,30,75098.297,75101.72
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,81,39,75278.503,75281.39
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,67,31,75577.595,75580.565
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,63,29,75726.133,75730.258
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,55,29,75754.319,75757.453
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,66,33,77568.049,77570.4
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,92,38,77604.42,77607.349
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,85,41,77649.452,77652.133
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,92,38,77806.483,77809.988
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,63,34,77841.348,77843.039
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,73,35,77870.298,77873.103
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,71,30,77929.762,77932.443
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,67,36,78903.41,78905.637
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,63,31,78981.771,78985.07
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,63,32,79007.721,79010.196
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,56,31,79108.441,79110.875
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,77,40,79391.957,79394.184
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,61,38,79404.701,79406.516
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,63,29,79497.318,79500.247
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,60,28,79674.092,79676.979
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,40Hz,56,37,80367.729,80369.338
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,40Hz,63,42,87623.917,87625.608
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,68,36,89170.977,89174.565
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,60,37,89177.535,89182.196
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,57,28,89210.688,89214.483
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,67,26,89215.225,89219.514
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,62,33,89220.669,89224.051
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,66,25,89225.66,89229.578
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,53,32,93251.339,93253.36
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,81,33,93464.257,93467.598
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,68,30,93582.463,93584.732
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,84,42,93627.885,93631.514
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,71,36,93676.721,93680.021
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,86,39,93703.257,93706.185
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,79,43,93728.06,93729.999
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,65,29,93736.845,93739.031
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,76,43,93763.752,93766.226
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,82,34,93776.125,93780.043
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,51,29,93907.276,93909.751
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,75,34,93919.279,93921.3
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,67,36,94049.422,94051.856
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,40Hz,69,53,94303.339,94305.525
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,83,41,94541.389,94544.194
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,63,30,94741.853,94744.534
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,87,42,94760.289,94762.434
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,76,40,94914.257,94917.268
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,66,24,94927.373,94929.93
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,59,34,94951.381,94953.691
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,68,35,94998.617,95001.339
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,53,33,97722.628,97725.103
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,77,48,97773.504,97776.804
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,57,22,99400.018,99403.153
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,61,23,99526.564,99529.905
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,62,17,99797.472,99799.658
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,75,39,99858.668,99860.813
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,71,38,99896.792,99899.761
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,61,22,99910.609,99913.455
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,40Hz,61,44,99941.092,99942.989
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,82,41,100094.051,100096.649
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,46,19,100113.183,100117.72
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,58,30,100122.463,100125.681
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,51,26,100236.977,100239.946
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,67,41,101179.629,101182.474
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,60,25,101198.709,101201.514
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,60,29,104471.092,104473.938
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,60,35,104918.894,104922.359
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,71,20,105063.564,105068.596
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,79,21,105070.122,105074.247
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,76,25,105075.526,105078.949
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,75,31,105101.174,105104.268
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,68,29,105108.598,105111.774
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,76,32,105139.174,105143.423
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,74,32,105184.463,105188.175
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,68,30,105214.174,105218.093
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,76,28,105248.844,105252.804
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,76,29,105276.009,105280.464
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,90,25,105311.091,105316.412
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,59,23,105362.432,105368.124
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,65,26,105448.339,105454.032
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,63,27,105585.546,105589.711
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,70,30,105640.669,105644.794
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,40Hz,55,37,105673.628,105675.072
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,56,25,106345.092,106348.928
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,57,26,106350.66,106353.836
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,61,33,106359.382,106361.65
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,62,26,106364.537,106367.301
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,55,29,106386.102,106388.37
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,74,29,106394.268,106397.279
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,40Hz,64,42,106413.422,106416.103
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,77,38,106442.679,106446.68
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,66,25,106477.216,106483.031
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,44,25,106493.215,106496.927
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,70,26,106500.062,106503.444
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,62,25,106538.504,106542.381
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,61,26,106544.939,106548.733
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,60,29,106552.505,106555.805
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,76,29,106567.803,106571.144
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,71,35,106574.691,106576.795
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,65,36,106575.104,106579.641
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,40Hz,49,37,106586.112,106588.834
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,70,47,106600.507,106603.187
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,73,30,106614.297,106617.102
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,79,28,106627.496,106632.981
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,80,21,106669.564,106675.05
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,72,31,106676.535,106679.381
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,61,22,106678.844,106682.433
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,73,43,106684.33,106688.908
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,59,22,106698.391,106701.814
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,79,47,106707.712,106711.342
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,79,28,106723.359,106727.443
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,87,37,106728.845,106732.804
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,82,23,106747.03,106750.412
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,78,37,106756.351,106760.022
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,81,28,106769.441,106774.349
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,87,33,106771.957,106775.916
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,52,27,106847.504,106851.835
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,74,47,106861.999,106864.969
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,62,26,106898.606,106901.905
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,71,27,107233.606,107238.431
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,70,27,107256.688,107261.885
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,65,34,107312.534,107316.947
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,67,27,107353.752,107356.598
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,53,20,107460.977,107464.153
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,66,33,107465.885,107468.525
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,70,20,107469.597,107476.362
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,60,32,107478.383,107480.981
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,72,29,107489.669,107494.784
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,69,41,107523.441,107527.236
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,72,38,107565.257,107569.629
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,76,32,107586.018,107590.761
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,65,22,107606.967,107613.03
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,68,28,107632.629,107636.959
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,61,28,107684.958,107689.412
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,81,26,107698.279,107704.012
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,71,40,107712.876,107716.876
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,64,26,107730.399,107733.74
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,77,28,107733.616,107738.071
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,70,27,107754.28,107758.363
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,69,35,107760.894,107764.318
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,56,19,107808.092,107812.959
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,70,19,107902.07,107905.947
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,72,22,107920.96,107923.641
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,79,43,107931.493,107935.617
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,69,28,108020.009,108024.175
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,80,29,108065.762,108070.629
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,56,23,108476.886,108480.02
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,70,24,108553.195,108556.412
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,95,27,108597.08,108601.453
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,100,26,108613.579,108617.909
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,92,28,108631.968,108636.093
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,79,23,108662.936,108670.36
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,95,35,108673.535,108678.362
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,81,36,108684.507,108688.755
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,72,36,108700.802,108705.669
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,87,42,108711.732,108713.876
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,73,30,108723.711,108729.527
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,83,35,108731.792,108735.339
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,79,37,108757.422,108760.557
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,D,77,30,108775.277,108779.525
L:\HARP_CNN\AB_classifier\labeled_data\xwavs\CINMS18B_d06_120622_055731.d100.x.wav,40Hz,51,34,108810.183,108812.781
